MR_DSA_API_TOKEN_POST_COLLECTION_001, 1.0.0, ,"Role `Admin` and `ROLE_APITOKEN_POST_COLLECTION` are required"
MR_DSA_API_TOKEN_POST_COLLECTION_002, 1.0.0, , "Property `user` is required."
MR_DSA_API_TOKEN_POST_COLLECTION_003, 1.0.0, , "Property `user` should be a valid IRI to an existing User."
MR_DSA_API_TOKEN_POST_COLLECTION_004, 1.0.0, , "Property `userGroup` is required."
MR_DSA_API_TOKEN_POST_COLLECTION_005, 1.0.0, , "Property `userGroup` should be a valid IRI to an existing UserGroup."
MR_DSA_API_TOKEN_POST_COLLECTION_006, 1.0.0, , "Property `expiredAt` is required."
MR_DSA_API_TOKEN_POST_COLLECTION_007, 1.0.0, , "Property `expiredAt` should be a valid datetime (`Y-m-d` or `Y-m-d H:i:s`)."
MR_DSA_API_TOKEN_POST_COLLECTION_008, 1.0.0, , "Property `name` is optional."
MR_DSA_API_TOKEN_POST_COLLECTION_009, 1.0.0, , "Property `name` has a min length of 2 characters."
MR_DSA_API_TOKEN_POST_COLLECTION_010, 1.0.0, , "Property `name` has a max length of 255 characters."
MR_DSA_API_TOKEN_POST_COLLECTION_011, 1.0.0, , "Property `name` has only a-z,A-Z,0-9,-,_ characters."
MR_DSA_API_TOKEN_POST_COLLECTION_012, 1.0.0, , "Property `code` must be a valid uuid"
