MR_DSA_NETWORK_POST_COLLECTION_001, 1.0.0, , "Role `ROLE_NETWORK_POST_COLLECTION` is required"
MR_DSA_NETWORK_POST_COLLECTION_002, 1.0.0, , "Property `name` is required"
MR_DSA_NETWORK_POST_COLLECTION_003, 1.0.0, , "Property `name` has a min length of 2 characters"
MR_DSA_NETWORK_POST_COLLECTION_004, 1.0.0, , "Property `name` has a max length of 255 characters"
MR_DSA_NETWORK_POST_COLLECTION_005, 1.0.0, , "Property `description` is optional"
MR_DSA_NETWORK_POST_COLLECTION_006, 1.0.0, , "Property `description` is a string"
MR_DSA_NETWORK_POST_COLLECTION_007, 1.0.0, , "Property `code` is required"
MR_DSA_NETWORK_POST_COLLECTION_008, 1.0.0, , "Property `code` must be a valid uuid"
MR_DSA_NETWORK_POST_COLLECTION_009, 1.0.0, , "Property `enabled` is optional (default to true)."
MR_DSA_NETWORK_POST_COLLECTION_010, 1.0.0, , "Property `enabled` is a boolean."
MR_DSA_NETWORK_POST_COLLECTION_011, 1.0.0, , "Property `userGroup` is required."
MR_DSA_NETWORK_POST_COLLECTION_012, 1.0.0, , "Property `userGroup` should be a valid IRI to an existing User Group."
MR_DSA_NETWORK_POST_COLLECTION_013, 1.0.0, , "Property `site` is required."
MR_DSA_NETWORK_POST_COLLECTION_014, 1.0.0, , "Property `site` should be a valid IRI to an existing Site."
MR_DSA_NETWORK_POST_COLLECTION_015, 1.0.0, , "Property `network` is required."
MR_DSA_NETWORK_POST_COLLECTION_016, 1.0.0, , "Property `network` should be a valid IRI to an existing Network."
MR_DSA_NETWORK_POST_COLLECTION_017, 1.0.0, , "Property `platform` is required."
MR_DSA_NETWORK_POST_COLLECTION_018, 1.0.0, , "Property `platform` should be a valid IRI to an existing Platform."
MR_DSA_NETWORK_POST_COLLECTION_019, 1.0.0, , "Property `comment` is optional."
MR_DSA_NETWORK_POST_COLLECTION_020, 1.0.0, , "Property `comment` is a string."
MR_DSA_NETWORK_POST_COLLECTION_021, 1.0.0, , "Property `publicIpV4` is optional."
MR_DSA_NETWORK_POST_COLLECTION_022, 1.0.0, , "Property `publicIpV4` is a string."
MR_DSA_NETWORK_POST_COLLECTION_023, 1.0.0, , "Property `publicIpV4` has a min length of 7 characters"
MR_DSA_NETWORK_POST_COLLECTION_024, 1.0.0, , "Property `publicIpV4` has a max length of 15 characters"
MR_DSA_NETWORK_POST_COLLECTION_025, 1.0.0, , "Property `publicIpV6` is optional."
MR_DSA_NETWORK_POST_COLLECTION_026, 1.0.0, , "Property `publicIpV6` is a string."
MR_DSA_NETWORK_POST_COLLECTION_027, 1.0.0, , "Property `publicIpV6` has a min length of 12 characters"
MR_DSA_NETWORK_POST_COLLECTION_028, 1.0.0, , "Property `publicIpV6` has a max length of 46 characters"
MR_DSA_NETWORK_POST_COLLECTION_029, 1.0.0, , "Property `gatewayIpV4` is optional."
MR_DSA_NETWORK_POST_COLLECTION_030, 1.0.0, , "Property `gatewayIpV4` is a string."
MR_DSA_NETWORK_POST_COLLECTION_031, 1.0.0, , "Property `gatewayIpV4` has a min length of 7 characters"
MR_DSA_NETWORK_POST_COLLECTION_032, 1.0.0, , "Property `gatewayIpV4` has a max length of 15 characters"
MR_DSA_NETWORK_POST_COLLECTION_033, 1.0.0, , "Property `gatewayIpV6` is optional."
MR_DSA_NETWORK_POST_COLLECTION_034, 1.0.0, , "Property `gatewayIpV6` is a string."
MR_DSA_NETWORK_POST_COLLECTION_035, 1.0.0, , "Property `gatewayIpV6` has a min length of 12 characters"
MR_DSA_NETWORK_POST_COLLECTION_036, 1.0.0, , "Property `gatewayIpV6` has a max length of 46 characters"
MR_DSA_NETWORK_POST_COLLECTION_037, 1.0.0, , "Property `ssh` is optional."
MR_DSA_NETWORK_POST_COLLECTION_038, 1.0.0, , "Property `ssh` is a string."
MR_DSA_NETWORK_POST_COLLECTION_039, 1.0.0, , "Property `ssh` has a min length of 2 characters"
MR_DSA_NETWORK_POST_COLLECTION_040, 1.0.0, , "Property `ssh` has a max length of 255 characters"
MR_DSA_NETWORK_POST_COLLECTION_041, 1.0.0, , "Property `sites` is optional."
MR_DSA_NETWORK_POST_COLLECTION_042, 1.0.0, , "Property `sites` should be a an array of valid IRI to existing Site."
