MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_001, 1.0.0, , "Role `ROLE_TEMPLATE_MODEL_POST_COLLECTION` is required"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_002, 1.0.0, , "Property `name` is required"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_003, 1.0.0, , "Property `name` has a min length of 2 characters"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_004, 1.0.0, , "Property `name` has a max length of 255 characters"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_005, 1.0.0, , "Property `code` is required"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_006, 1.0.0, , "Property `code` must be a valid uuid"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_007, 1.0.0, , "Property `platform` is required"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_008, 1.0.0, , "Property `platform` is a valid IRI of Platform"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_009, 1.0.0, , "Property `templateModelOutputs` is optional"
MR_DSA_TEMPLATE_MODEL_POST_COLLECTION_010, 1.0.0, , "Property `templateModelOutputs` is an array of valid IRI of Template Model Output"
